"Mental health related emergency department visits (monthly) by Age (years) for Total mental health presentations by Sex and LHD"
"Age (years)","Presentation type","Sex","LHD","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2020-Q1","434.5","399.4","471.9"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2020-Q2","419.3","384.8","456.1"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2020-Q3","419.9","385.3","456.7"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2020-Q4","405.8","371.9","442.0"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2021-Q1","396.4","363.0","432.0"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2021-Q2","399.8","366.3","435.6"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2021-Q3","401.0","367.4","436.8"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2021-Q4","397.9","364.4","433.6"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2022-Q1","388.8","355.7","424.2"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2022-Q2","382.7","349.9","417.8"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2022-Q3","376.0","343.5","410.8"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2022-Q4","382.1","349.3","417.2"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2023-Q1","406.1","372.3","442.1"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2023-Q2","420.4","386.0","457.0"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2023-Q3","439.3","404.1","476.7"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2023-Q4","443.7","408.3","481.3"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2024-Q1","434.1","398.9","471.6"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2024-Q2","426.0","391.1","463.1"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2024-Q3","409.2","375.0","445.6"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2024-Q4","406.3","372.2","442.5"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2025-Q1","410.2","376.1","446.6"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2025-Q2","426.4","391.6","463.5"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2025-Q3","444.0","408.4","481.8"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2025-Q4","464.0","427.7","502.6"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2015-Q4","372.7","352.4","393.8"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2016-Q1","381.6","361.1","402.9"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2016-Q2","390.5","369.8","412.1"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2016-Q3","404.9","383.8","426.9"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2016-Q4","402.0","381.0","423.9"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2017-Q1","404.4","383.3","426.3"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2017-Q2","401.8","380.7","423.6"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2017-Q3","398.5","377.5","420.2"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2017-Q4","407.7","386.5","429.7"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2018-Q1","402.6","381.6","424.4"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2018-Q2","404.8","383.7","426.7"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2018-Q3","411.2","389.9","433.2"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2018-Q4","409.6","388.4","431.7"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2019-Q1","415.8","394.5","438.0"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2019-Q2","424.3","402.8","446.7"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2019-Q3","432.9","411.2","455.5"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2019-Q4","435.6","413.8","458.3"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2020-Q1","423.1","401.7","445.3"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2020-Q2","406.3","385.3","428.1"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2020-Q3","391.4","370.8","412.7"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2020-Q4","389.3","368.8","410.6"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2021-Q1","388.1","367.8","409.3"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2021-Q2","401.3","380.7","422.8"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2021-Q3","414.0","393.1","435.9"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2021-Q4","415.3","394.3","437.2"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2022-Q1","405.8","385.2","427.3"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2022-Q2","402.2","381.7","423.7"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2022-Q3","393.3","373.0","414.5"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2022-Q4","388.1","367.9","409.1"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2023-Q1","395.8","375.4","417.0"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2023-Q2","405.3","384.7","426.7"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2023-Q3","417.8","396.9","439.6"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2023-Q4","433.2","411.9","455.3"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2024-Q1","446.2","424.4","468.8"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2024-Q2","448.6","426.7","471.2"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2024-Q3","451.8","429.8","474.5"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2024-Q4","455.7","433.7","478.6"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2025-Q1","454.4","432.5","477.2"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2025-Q2","462.3","440.2","485.2"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2025-Q3","461.5","439.5","484.4"
"35-64 years","Total mental health presentations","Persons","Hunter New England LHD","2025-Q4","467.7","445.4","490.7"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2015-Q4","551.3","510.1","595.0"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2016-Q1","553.3","512.1","597.0"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2016-Q2","559.8","518.3","603.7"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2016-Q3","581.2","538.9","625.9"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2016-Q4","582.4","540.1","627.2"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2017-Q1","585.5","543.0","630.6"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2017-Q2","588.3","545.6","633.4"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2017-Q3","582.2","539.8","627.1"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2017-Q4","588.1","545.4","633.2"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2018-Q1","598.8","555.6","644.3"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2018-Q2","595.8","552.8","641.3"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2018-Q3","620.8","576.8","667.1"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2018-Q4","638.2","593.6","685.2"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2019-Q1","651.1","606.0","698.6"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2019-Q2","662.6","617.2","710.5"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2019-Q3","649.8","604.8","697.3"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2019-Q4","637.8","593.3","684.9"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2020-Q1","608.6","565.2","654.4"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2020-Q2","592.9","550.1","638.2"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2020-Q3","580.2","537.8","625.0"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2020-Q4","569.5","527.6","613.9"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2021-Q1","570.8","529.0","615.0"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2021-Q2","580.3","538.1","624.9"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2021-Q3","587.3","544.9","632.2"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2021-Q4","587.7","545.3","632.6"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2022-Q1","569.0","527.4","613.0"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2022-Q2","556.9","515.7","600.4"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2022-Q3","548.8","508.0","592.1"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2022-Q4","550.9","509.9","594.3"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2023-Q1","575.7","533.8","620.1"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2023-Q2","574.7","532.8","619.0"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2023-Q3","575.9","534.0","620.3"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2023-Q4","577.4","535.4","621.8"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2024-Q1","590.6","547.5","636.1"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2024-Q2","596.9","553.6","642.7"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2024-Q3","611.1","567.3","657.5"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2024-Q4","622.0","577.7","668.7"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2025-Q1","628.1","583.6","675.0"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2025-Q2","641.0","596.1","688.4"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2025-Q3","646.5","601.4","694.1"
"35-64 years","Total mental health presentations","Persons","Northern NSW LHD","2025-Q4","655.9","610.4","703.8"
"35-64 years","Total mental health presentations","Persons","Mid North Coast LHD","2015-Q4","483.9","437.8","533.5"
"35-64 years","Total mental health presentations","Persons","Mid North Coast LHD","2016-Q1","483.9","437.8","533.6"
"35-64 years","Total mental health presentations","Persons","Mid North Coast LHD","2016-Q2","505.9","458.7","556.6"
"35-64 years","Total mental health presentations","Persons","Mid North Coast LHD","2016-Q3","510.4","463.0","561.3"
"35-64 years","Total mental health presentations","Persons","Mid North Coast LHD","2016-Q4","516.7","469.0","567.9"
"35-64 years","Total mental health presentations","Persons","Mid North Coast LHD","2017-Q1","532.4","484.0","584.4"
"35-64 years","Total mental health presentations","Persons","Mid North Coast LHD","2017-Q2","536.0","487.4","588.1"
"35-64 years","Total mental health presentations","Persons","Mid North Coast LHD","2017-Q3","533.0","484.6","585.0"
"35-64 years","Total mental health presentations","Persons","Mid North Coast LHD","2017-Q4","542.3","493.5","594.7"
"35-64 years","Total mental health presentations","Persons","Mid North Coast LHD","2018-Q1","531.9","483.6","583.7"
"35-64 years","Total mental health presentations","Persons","Mid North Coast LHD","2018-Q2","528.3","480.1","579.9"
